R,G,B,RR,GG,BB,RGB,RG,RB,GB,True R,True G,True B
357,642,525,127449,412164,275625,120326850,229194,187425,337050,0,0,0
789,891,830,622521,793881,688900,583489170,702999,654870,739530,255,255,255
767,747,626,588289,558009,391876,358666074,572949,480142,467622,255,0,0
768,750,630,589824,562500,396900,362880000,576000,483840,472500,240,0,0
750,738,636,562500,544644,404496,352026000,553500,477000,469368,200,0,0
687,725,605,471969,525625,366025,301335375,498075,415635,438625,160,0,0
543,690,560,294849,476100,313600,209815200,374670,304080,386400,123,0,0
514,676,564,264196,456976,318096,195969696,347464,289896,381264,100,0,0
495,833,643,245025,693889,413449,265131405,412335,318285,535619,0,255,0
500,833,646,250000,693889,417316,269059000,416500,323000,538118,0,240,0
477,828,645,227529,685584,416025,254746620,394956,307665,534060,0,200,0
471,815,624,221841,664225,389376,239531760,383865,293904,508560,0,160,0
433,757,570,187489,573049,324900,186835170,327781,246810,431490,0,123,0
399,738,562,159201,544644,315844,165487644,294462,224238,414756,0,100,0
423,768,758,178929,589824,574564,246246912,324864,320634,582144,0,0,255
417,771,758,173889,594441,574564,243702306,321507,316086,584418,0,0,240
421,761,750,177241,579121,562500,240285750,320381,315750,570750,0,0,200
422,757,743,178084,573049,552049,237354322,319454,313546,562451,0,0,160
453,734,716,205209,538756,512656,238071432,332502,324348,525544,0,0,123
413,714,695,170569,509796,483025,204942990,294882,287035,496230,0,0,100
777,885,649,603729,783225,421201,446281605,687645,504273,574365,255,255,0
490,838,818,240100,702244,669124,335887160,410620,400820,685484,0,255,255
769,726,711,591361,527076,505521,396947034,558294,546759,516186,255,0,255
560,774,581,313600,599076,337561,251828640,433440,325360,449694,123,123,0
385,725,639,148225,525625,408321,178360875,279125,246015,463275,0,123,123
598,696,627,357604,484416,393129,260962416,416208,374946,436392,123,0,123
773,801,605,597529,641601,366025,374599665,619173,467665,484605,255,123,0
767,745,679,588289,555025,461041,387990785,571415,520793,505855,255,0,123
564,848,625,318096,719104,390625,298920000,478272,352500,530000,123,255,0
514,747,739,264196,558009,546121,283744962,383958,379846,552033,123,0,255
492,834,685,242064,695556,469225,281074680,410328,337020,571290,0,255,123
777,808,728,603729,652864,529984,457050048,627816,565656,588224,255,123,123
556,821,797,309136,674041,635209,363811372,456476,443132,654337,123,123,255
